CXCR4_low_MK	CXCR4_high_MK	EM
28.7	3.33	3.23
50.7	0	23
31.8	0	0
11.8	12	0
0	17.8	0
59.6	18	17.8
12.3	15.2	21.9
25.4	9.45	3.73
25.2	0	24.3
36.4	2.21	31.4
0	47.3	3.35
2.9	42.9	4.26
14.3	0	14.3
9.22	3.15	0
17.2	8.97	0
19.4	10.4	0
28.9	39.9	0
52.1	0	0
19.8	11.3	5.65
21.5	12.4	8.75
10.9	45.7	3.37
17.6	5.68	12.1
4.96	17.6	0
27.5	9.76	4.96
12.4	0	11.7
35.6	0	14.1
31	2.02	22.6
28.3	3.75	19.4
15.2	3.18	6.69
27.1	8.25	18.3
30.4	31.3	4.14
5.53	14.2	4.78
6.7	27.6	0
68.9	45.3	0
34.4	28	2.25
28.4	24.5	9.1
19.2	23.7	1.77
12	14.6	10.9
21.2	26.4	3.48
20.6	14.9	12.8
50.8	11.7	28.3
6.99	44.5	0
23.7	27.6	0
35.6	0	1.11
36	4.62	16.6
30.8	43.2	10.9
31.9	32.3	4.06
18.9	15.5	0
42.4	26.3	1.98
17.6	8.32	14.5
6.5	14.1	4.8
13.4	7.21	0
25.4	15.3	0
28.4	17.6	0
30.1	16.5	0
9.6	0	0
0	7.32	6.89
13.9	31.5	9.08
29	15.4	12.3
39.8	0	8.14
35.6	38.3	4.19
11.8	16	0
39	0	0
58.3	0	9.46
45	21.5	19.8
0	18.6	0
15.9	15.2	0
11.8	9.64	8.35
95.7	0	7.75
69.5	31.4	0
57.3	10.2	0
9.65	3.45	4.55
35.6	20.8	9.57
0	23.7	0
20.5	0	0
19.6	13.1	0
92.8	51.6	11.1
43.8	32.1	0
12.1	3.45	9.51
6.77	2.35	25.6
3.41	8.51	21.2
21.4	12.9	8.21
3.45	27.6	13.7
18.4	5.21	7.34
34.1	0	0
