CXCR4_low_MK	CXCR4_high_MK
9.232615672903757797e+01 3.784580029347067125e+02
2.377602755346792662e+02 9.350000000000000000e+01
0.000000000000000000e+00 3.131913049166859651e+02
8.626936408468858986e+01 4.479275746443594244e+02
2.213928315065044785e+02 1.903548677114477243e+02
0.000000000000000000e+00 1.664615340839446844e+02
2.191167863678200831e+02 1.935918152294990477e+02
2.060209821576715967e+02 8.602683209061532921e+01
1.010857133006284840e+02 1.335036764208967952e+02
3.062099032335839155e+01 2.685645679538363879e+02
1.975624902374255782e+02 3.144873814523221540e+02
3.300687898766208832e+02 2.579860840812806373e+02
2.219817807045693669e+01 3.043631616861170528e+02
8.719392398596461646e+01 3.298522227998482776e+02
1.063485185935022201e+02 3.396476289556892425e+02
4.892956348249516196e+01 6.995690849197106900e+02
0.000000000000000000e+00 2.315192299790767265e+02
1.165000000000000000e+02 3.418617284194049262e+02
2.065000000000000000e+02 1.921175737183052945e+02
1.926512234140488431e+02 6.103237919663367848e+02
2.025000000000000000e+02 5.061216668605457585e+02
1.045186899564744181e+02 4.076243713801948729e+02
7.680952023559341058e+01 6.256919393998975920e+01
3.186568055487916240e+01 1.500549081478534390e+02
2.521566315649368732e+02 2.579611295375952977e+02
2.335021186345580304e+02 0.000000000000000000e+00
3.330951894845300743e+00 1.445918080655751510e+02
1.058743512091306656e+02 1.730249270046849972e+02
2.853367592924851124e+02 2.620940286552211660e+02
5.411271941887264347e+01 1.964798984822336365e+02
0.000000000000000000e+00 7.782720538031570641e+02
8.355230967266363962e+01 1.201132129910965176e+02
6.380987860040161763e+01 3.090670072392132965e+02
3.176452795216571872e+02 3.246849629796577119e+02
1.230428213797985393e+02 7.291098687141939081e+02
9.164881836751855815e+01 2.591581739598440208e+02
6.772819946431775406e+01 3.282279849060251422e+02
1.165672079121703462e+02 6.629058911671883152e+02
1.450000000000000000e+01 3.168399442600314728e+02
2.915646187490089574e+02 0.000000000000000000e+00
2.232299271253149584e+02 6.193488562343746935e+02
1.135387866189577153e+02 1.919556504707435920e+02
1.325740537631117490e+02 5.214895037116679077e+02
0.000000000000000000e+00 3.489896869041821788e+02
2.685645679538363879e+02 0.000000000000000000e+00
2.612366110345698758e+02 2.433281572999747766e+01
2.681917065593255529e+02 6.798672031978089763e+02
8.450000000000000000e+01 2.217877615921118490e+02
2.006102834535695578e+01 3.273742184530340182e+02
2.731320010448714015e+02 2.111000936329382682e+02
8.690357934669059148e+01 3.383284025723208401e+02
4.240606639154623281e+02 3.489896869041821788e+02
3.781128874149274566e+01 1.721224498740067475e+02
1.036743848581191401e+02 6.905417527999327376e+01
4.669349550499537571e+01 4.350000000000000000e+01
